token	arch	round	condition	bench	report_count	sites_applied_values	sites_matched_values	sites_skipped_values	insn_delta_values	unique_skip_reasons	native_prefetch_mnemonic_count_in_code_compare	code_compare
pfd-v3-x86-r1-control	x86	1	control	prefetch_single_first_deref	0						0	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-x86-r1-control/details/code_compare/prefetch_single_first_deref.md
pfd-v3-x86-r1-control	x86	1	control	prefetch_packet_first_deref	0						0	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-x86-r1-control/details/code_compare/prefetch_packet_first_deref.md
pfd-v3-arm64-r1-control	arm64	1	control	prefetch_single_first_deref	0						0	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-arm64-r1-control/details/code_compare/prefetch_single_first_deref.md
pfd-v3-arm64-r1-control	arm64	1	control	prefetch_packet_first_deref	0						0	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-arm64-r1-control/details/code_compare/prefetch_packet_first_deref.md
pfd-v3-x86-r1-treatment	x86	1	treatment	prefetch_single_first_deref	5	1,1,1,1,1	2,2,2,2,2	1,1,1,1,1	2,2,2,2,2	{"packet prefetch requires a data-dependent dereference": 1}	1	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-x86-r1-treatment/details/code_compare/prefetch_single_first_deref.md
pfd-v3-x86-r1-treatment	x86	1	treatment	prefetch_packet_first_deref	5	1,1,1,1,1	2,2,2,2,2	1,1,1,1,1	2,2,2,2,2	{"packet prefetch requires a data-dependent dereference": 1}	1	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-x86-r1-treatment/details/code_compare/prefetch_packet_first_deref.md
pfd-v3-arm64-r1-treatment	arm64	1	treatment	prefetch_single_first_deref	5	1,1,1,1,1	2,2,2,2,2	1,1,1,1,1	2,2,2,2,2	{"packet prefetch requires a data-dependent dereference": 1}	1	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-arm64-r1-treatment/details/code_compare/prefetch_single_first_deref.md
pfd-v3-arm64-r1-treatment	arm64	1	treatment	prefetch_packet_first_deref	5	1,1,1,1,1	2,2,2,2,2	1,1,1,1,1	2,2,2,2,2	{"packet prefetch requires a data-dependent dereference": 1}	1	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-arm64-r1-treatment/details/code_compare/prefetch_packet_first_deref.md
pfd-v3-x86-r2-control	x86	2	control	prefetch_single_first_deref	0						0	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-x86-r2-control/details/code_compare/prefetch_single_first_deref.md
pfd-v3-x86-r2-control	x86	2	control	prefetch_packet_first_deref	0						0	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-x86-r2-control/details/code_compare/prefetch_packet_first_deref.md
pfd-v3-arm64-r2-control	arm64	2	control	prefetch_single_first_deref	0						0	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-arm64-r2-control/details/code_compare/prefetch_single_first_deref.md
